DATE,H8B1058NCBCMG
2/1/1973,4.9
3/1/1973,9.5
4/1/1973,19.3
5/1/1973,4.1
6/1/1973,16.9
7/1/1973,15.8
8/1/1973,-0.2
9/1/1973,16.7
10/1/1973,15.7
11/1/1973,2.2
12/1/1973,26.7
1/1/1974,1.7
2/1/1974,-2.1
3/1/1974,7.5
4/1/1974,31.2
5/1/1974,4.9
6/1/1974,15.2
7/1/1974,7.1
8/1/1974,-2.8
9/1/1974,13.7
10/1/1974,8
11/1/1974,10.1
12/1/1974,25.7
1/1/1975,-18.6
2/1/1975,-8
3/1/1975,12.6
4/1/1975,14.6
5/1/1975,-3.5
6/1/1975,19.9
7/1/1975,-5.2
8/1/1975,-4.2
9/1/1975,10.8
10/1/1975,11.4
11/1/1975,10.3
12/1/1975,16.4
1/1/1976,-10.9
2/1/1976,-1.8
3/1/1976,8
4/1/1976,9.1
5/1/1976,-3.6
6/1/1976,23.5
7/1/1976,2.2
8/1/1976,-10.5
9/1/1976,16
10/1/1976,13.6
11/1/1976,7.1
12/1/1976,29.9
1/1/1977,-5.1
2/1/1977,-9.4
3/1/1977,15
4/1/1977,21.2
5/1/1977,0.8
6/1/1977,20.3
7/1/1977,11.9
8/1/1977,-5.8
9/1/1977,16.6
10/1/1977,13.5
11/1/1977,13.4
12/1/1977,25.7
1/1/1978,-3.1
2/1/1978,2.6
3/1/1978,10
4/1/1978,25.2
5/1/1978,3
6/1/1978,18.1
7/1/1978,10
8/1/1978,-8
9/1/1978,25.7
10/1/1978,7
11/1/1978,10.9
12/1/1978,17.2
1/1/1979,-6.4
2/1/1979,-0.7
3/1/1979,-0.4
4/1/1979,10
5/1/1979,-1.1
6/1/1979,11.3
7/1/1979,17.4
8/1/1979,-2.9
9/1/1979,29
10/1/1979,10.1
11/1/1979,6.1
12/1/1979,2.7
1/1/1980,5
2/1/1980,10.9
3/1/1980,7.6
4/1/1980,5.3
5/1/1980,1.6
6/1/1980,4.1
7/1/1980,9
8/1/1980,8.8
9/1/1980,17.4
10/1/1980,17.2
11/1/1980,26.8
12/1/1980,6.8
1/1/1981,8.8
2/1/1981,7.2
3/1/1981,10.4
4/1/1981,10.2
5/1/1981,9.9
6/1/1981,14.2
7/1/1981,-1
8/1/1981,12.3
9/1/1981,12.5
10/1/1981,-37.9
11/1/1981,13.5
12/1/1981,5.2
1/1/1982,7.3
2/1/1982,3.8
3/1/1982,9.3
4/1/1982,6.7
5/1/1982,11.5
6/1/1982,5.4
7/1/1982,12.2
8/1/1982,13.2
9/1/1982,10
10/1/1982,11
11/1/1982,3.7
12/1/1982,13.4
1/1/1983,14.3
2/1/1983,10.1
3/1/1983,8.1
4/1/1983,5.7
5/1/1983,9.3
6/1/1983,4.7
7/1/1983,8.4
8/1/1983,1
9/1/1983,5.9
10/1/1983,10.8
11/1/1983,7
12/1/1983,6.8
1/1/1984,9.4
2/1/1984,2.1
3/1/1984,10.2
4/1/1984,10.5
5/1/1984,14.4
6/1/1984,8.8
7/1/1984,10.3
8/1/1984,1.7
9/1/1984,7.7
10/1/1984,6.8
11/1/1984,8.3
12/1/1984,15.2
1/1/1985,3
2/1/1985,11.2
3/1/1985,7.9
4/1/1985,-0.2
5/1/1985,9.5
6/1/1985,8.7
7/1/1985,5.2
8/1/1985,8.2
9/1/1985,10.2
10/1/1985,6.3
11/1/1985,9
12/1/1985,12.3
1/1/1986,1.2
2/1/1986,3.8
3/1/1986,9.8
4/1/1986,8.6
5/1/1986,6.2
6/1/1986,7.8
7/1/1986,12.4
8/1/1986,12.2
9/1/1986,7.6
10/1/1986,4.5
11/1/1986,13.2
12/1/1986,19.3
1/1/1987,-3.1
2/1/1987,0.4
3/1/1987,9.4
4/1/1987,6.5
5/1/1987,1.2
6/1/1987,4.5
7/1/1987,-0.4
8/1/1987,3.8
9/1/1987,3.6
10/1/1987,8.1
11/1/1987,1.7
12/1/1987,0.7
1/1/1988,9
2/1/1988,3.8
3/1/1988,5.3
4/1/1988,7.4
5/1/1988,12.1
6/1/1988,7.1
7/1/1988,6.4
8/1/1988,2.1
9/1/1988,3
10/1/1988,8.8
11/1/1988,6.7
12/1/1988,4.8
1/1/1989,7
2/1/1989,5.1
3/1/1989,5.1
4/1/1989,3.6
5/1/1989,1.8
6/1/1989,0.2
7/1/1989,13.1
8/1/1989,2.6
9/1/1989,7.4
10/1/1989,11
11/1/1989,2
12/1/1989,6.7
1/1/1990,7.7
2/1/1990,1.4
3/1/1990,3.1
4/1/1990,5.2
5/1/1990,2.3
6/1/1990,6.8
7/1/1990,6.6
8/1/1990,2.6
9/1/1990,0.8
10/1/1990,-1.5
11/1/1990,0.3
12/1/1990,4.2
1/1/1991,5.4
2/1/1991,11.6
3/1/1991,9.1
4/1/1991,5.4
5/1/1991,5
6/1/1991,2.4
