DATE,M06006USM156NNBR
1946-01-01,91
1946-02-01,82
1946-03-01,78
1946-04-01,82
1946-05-01,86
1946-06-01,81
1946-07-01,69
1946-08-01,71
1946-09-01,73
1946-10-01,60
1946-11-01,49
1946-12-01,38
1947-01-01,37
1947-02-01,42
1947-03-01,34
1947-04-01,25
1947-05-01,20
1947-06-01,24
1947-07-01,22
1947-08-01,25
1947-09-01,30
1947-10-01,31
1947-11-01,38
1947-12-01,41
1948-01-01,35
1948-02-01,34
1948-03-01,26
1948-04-01,36
1948-05-01,31
1948-06-01,30
1948-07-01,36
1948-08-01,36
1948-09-01,38
1948-10-01,38
1948-11-01,32
1948-12-01,17
1949-01-01,16
1949-02-01,12
1949-03-01,10
1949-04-01,14
1949-05-01,12
1949-06-01,12
1949-07-01,22
1949-08-01,38
1949-09-01,53
1949-10-01,60
1949-11-01,58
1949-12-01,50
1950-01-01,54
1950-02-01,62
1950-03-01,60
1950-04-01,60
1950-05-01,66
1950-06-01,64
1950-07-01,88
1950-08-01,94
1950-09-01,96
1950-10-01,88
1950-11-01,87
1950-12-01,84
1951-01-01,84
1951-02-01,85
1951-03-01,74
1951-04-01,58
1951-05-01,46
1951-06-01,38
1951-07-01,34
1951-08-01,38
1951-09-01,50
1951-10-01,50
1951-11-01,34
1951-12-01,31
1952-01-01,28
1952-02-01,22
1952-03-01,18
1952-04-01,19
1952-05-01,23
1952-06-01,34
1952-07-01,50
1952-08-01,47
1952-09-01,46
1952-10-01,46
1952-11-01,44
1952-12-01,40
1953-01-01,37
1953-02-01,37
1953-03-01,40
1953-04-01,38
1953-05-01,36
1953-06-01,34
1953-07-01,30
1953-08-01,30
1953-09-01,25
1953-10-01,22
1953-11-01,20
1953-12-01,20
1954-01-01,21
1954-02-01,24
1954-03-01,27
1954-04-01,30
1954-05-01,35
1954-06-01,36
1954-07-01,40
1954-08-01,41
1954-09-01,47
1954-10-01,53
1954-11-01,52
1954-12-01,50
1955-01-01,54
1955-02-01,60
1955-03-01,66
1955-04-01,71
1955-05-01,70
1955-06-01,65
1955-07-01,70
1955-08-01,72
1955-09-01,72
1955-10-01,72
1955-11-01,66
1955-12-01,56
1956-01-01,48
1956-02-01,46
1956-03-01,49
1956-04-01,50
1956-05-01,39
1956-06-01,40
1956-07-01,56
1956-08-01,52
1956-09-01,47
1956-10-01,44
1956-11-01,46
1956-12-01,36
1957-01-01,33
1957-02-01,28
1957-03-01,25
1957-04-01,28
1957-05-01,30
1957-06-01,29
1957-07-01,38
1957-08-01,34
1957-09-01,32
1957-10-01,36
1957-11-01,29
1957-12-01,25
1958-01-01,28
1958-02-01,28
1958-03-01,32
1958-04-01,34
1958-05-01,38
1958-06-01,38
1958-07-01,44
1958-08-01,49
1958-09-01,57
1958-10-01,58
1958-11-01,58
1958-12-01,52
1959-01-01,58
1959-02-01,62
1959-03-01,62
1959-04-01,62
1959-05-01,62
1959-06-01,62
1959-07-01,60
1959-08-01,62
1959-09-01,64
1959-10-01,64
1959-11-01,56
1959-12-01,50
1960-01-01,44
1960-02-01,30
1960-03-01,27
1960-04-01,28
1960-05-01,32
1960-06-01,34
1960-07-01,36
1960-08-01,40
1960-09-01,41
1960-10-01,39
1960-11-01,38
1960-12-01,38
1961-01-01,38
1961-02-01,40
1961-03-01,40
1961-04-01,47
1961-05-01,48
1961-06-01,48
1961-07-01,49
1961-08-01,52
1961-09-01,55
1961-10-01,55
1961-11-01,51
1961-12-01,53
1962-01-01,56
1962-02-01,56
1962-03-01,55
1962-04-01,48
1962-05-01,46
1962-06-01,42
1962-07-01,44
1962-08-01,44
1962-09-01,48
1962-10-01,48
1962-11-01,48
1962-12-01,48
1963-01-01,50
1963-02-01,52
1963-03-01,54
1963-04-01,60
1963-05-01,58
1963-06-01,54
1963-07-01,42
1963-08-01,48
1963-09-01,52
1963-10-01,48
1963-11-01,48
1963-12-01,46
1964-01-01,55
1964-02-01,54
1964-03-01,60
1964-04-01,60
1964-05-01,63
1964-06-01,55
1964-07-01,59
1964-08-01,65
1964-09-01,74
1964-10-01,72
1964-11-01,70
1964-12-01,66
1965-01-01,68
1965-02-01,72
1965-03-01,66
1965-04-01,72
1965-05-01,70
1965-06-01,66
1965-07-01,62
1965-08-01,64
1965-09-01,62
1965-10-01,60
1965-11-01,66
1965-12-01,72
1966-01-01,74
1966-02-01,85
1966-03-01,86
1966-04-01,82
1966-05-01,75
1966-06-01,69
1966-07-01,70
1966-08-01,73
1966-09-01,72
1966-10-01,70
1966-11-01,64
1966-12-01,57
1967-01-01,48
1967-02-01,51
